"You will be charged an extra fee of %s","Det vil koste %kr ekstra"
"Payment failed, ","Betaling misslykkedes, "
"Security Number - %s, ","Sikkerhetsnummer - %s, "
"Payment method - %s","Betalingsmetode- %s"
"Payment confirmed, ","Betaling bekreftet, "
"Error in creating an invoice","Feil ved produsering av faktura"
"Invoice #%s created","Faktura #%s laget"
"SveaWebPay Transaction Failed.","SveaWebPay transaksjon misslykkedes"
"Payment process has been canceled.","Betalingsprosessen er blitt kansellert/avbrutt."
"The payment has been cancelled by the user before the transaction was completed.","Betalingen ble avbrutt av brukeren før transaksjonen ble ferdig."
"Invalid or incorrect information was provided by the user (such as personal identification number etc).","Ukorrekt eller ugyldig informasjon ble oppgitt av brukeren (for eksempel personnummer osv)."
"Payment was rejected by the bank (the user lacks credit, reported as abusive etc).","Betalingen ble avslått av banken (brukeren mangler kreditt, anmeldt som missbruk osv)."
"Internal system error such as databases are down, resources not available etc.","Intern systemfeil, for eksempel kan databaser være nede, ressurser ikke tilgjengelige osv."
"External system error. A third party system was unable to service the payment request and reported an error.","Ekstern systemfeil. En tredje partssystem kunne ikke håndtere betalingsforespørselen og rapporterte en feil."
"Payment was canceled by user.","Betalingen ble kansellert av brukeren."
"Error processing payment","Feil ved gjennomføring av betalingsprosessen"
