"lang_code","da"
"invoice_info","Svea Faktura"
"paymentplan_info","Svea Delbetal"
"redirect","Omdirigering..."
"from_about","Fra"
"authorize_success %s","Ordre er oprettet, Svea Order id: %s"
"unit","st"
"customer_type","Type"
"private","Privat"
"company","Erhverv"
"text_ssn","Cpr.nr."
"text_birthyear","Fødselsår"
"text_birthmonth","Fødselsmåned"
"text_birthday","Fødselsdag"
"text_vat_no","CVR-nummer"
"text_initials","Initialer"
"invoice_address","Betalingsadresse"
"get_address","Hente adresse"
"invoice_fee","Svea Fakturering Gebyr"
"delivered","Ordre bliver leveret"
"month","måned"
"initial_fee","Indledende gebyr vil blive tilføjet"
"no_orderid","No order is placed at Svea. Svea order id is required"
"Your monthly cost","Din månedlige omkostning"

"Error_20000","Svea error %s : Ordre lukket"
"Error_20001","Svea error %s : Ordre nægtet"
"Error_20002","Svea error %s : Fejl ved ordre"
"Error_20003","Svea error %s : Ordre udløbet"
"Error_20004","Svea error %s : Ordre eksisterer ikke"
"Error_20005","Svea error %s : Ordretype mismatch"
"Error_20006","Svea error %s : Summen af alle ordrerækker kan ikke være nul eller negativ"
"Error_20013","Svea error %s : Ordre afventer"

"Error_27000","Svea error %s : Kombinationen af det angivne kampagnekode-beløb matcher ikke nogen kampagnekode knyttet til denne kunde"
"Error_27001","Svea error %s : Kan ikke levere ordre, da den udspecificerede pdf-skabelon mangler. Kontakt SveaWebPays supportafdeling"
"Error_27002","Svea error %s : Kan ikke levere Betalingsplan delvist"
"Error_27003","Svea error %s : Kampagnekode kan ikke benyttes sammen med fast Månedlig Betaling."
"Error_27004","Svea error %s : Kan ikke finde en egnet Kampagnekode for den Månedlige Betaling"

"Error_24000","Svea error %s : Beløbsstørrelse overstiger det tilladte"

"Error_30000","Svea error %s : Kreditrapporten blev afvist"
"Error_30001","Svea error %s : Kunden er spærret eller har udvist mærkelig eller usædvanlig adfærd
"Error_30002","Svea error %s : På basis af det gennemførte kredittjek blev forespørgslen afvist"
"Error_30003","Svea error %s : Kunden kan ikke findes af kredittjek"

"Error_40000","Svea error %s : Ingen kunde fundet"
"Error_40001","Svea error %s : Den angivne Landekode understøttes ikke"
"Error_40002","Svea error %s : Ugyldig kundeinformation"
"Error_40004","Svea error %s : Kunne ikke finde adresse på pågældende kunde"

"Error_50000","Svea error %s : Kunden er ikke godkendt til denne handling"
"Error_error","Svea error %s "

"Error_102","Svea error %s : Fejl. Kontakt integrator';
"Error_105","Svea error %s : Fejlagtigt trasnaktionsstatus';
"Error_106","Svea error %s : Fejl hos tredjepart';
"Error_107","Svea error %s : Transaktion afvist af bank';
"Error_108","Svea error %s : Transaktionen afbrudt';
"Error_109","Svea error %s : Transaktionen ikke fundet hos bank';
"Error_114","Svea error %s : Timeout hos bank';
"Error_121","Svea error %s : Kortet er udgået';
"Error_122","Svea error %s : Kortet er stjålet';
"Error_123","Svea error %s : Tabt kort';
"Error_127","Svea error %s : Kundenummer allerede anvendt i en anden transaktion';
"Error_129","Svea error %s : Mere end én transaktion fundet for angivet kundenummer';

"No customer found","Ingen kunde fundet"
"The Invoice will be sent to the address registered to your social security number","Fakturaen sendes til folkeregisteradressen"
