"SveaWebPayHostedStatusCode0","Betaling gjennomført "
"SveaWebPayHostedStatusCode1","Betaling gjennomført men krever manuell gransking av butikkeieren, tilgjengelige betalingsmetoder: PAYPAL"
"SveaWebPayHostedStatusCode100","Ugyldig – kontakt integratøren"
"SveaWebPayHostedStatusCode101","Ugyldig XML"
"SveaWebPayHostedStatusCode102","Ugyldig encoding"
"SveaWebPayHostedStatusCode104","Ugyldig URL"
"SveaWebPayHostedStatusCode105","Ugyldig transaksjonsstatus"
"SveaWebPayHostedStatusCode106","Misslykket ved tredjepart f eks ved bank"
"SveaWebPayHostedStatusCode107","Transaksjon avviset av banken"
"SveaWebPayHostedStatusCode108","Transaksjon avbrutt"
"SveaWebPayHostedStatusCode109","Transaksjon inte funnet i banken"
"SveaWebPayHostedStatusCode110","Ugyldig transaksjonsID"
"SveaWebPayHostedStatusCode111","ButikkID ikke konfigurert"
"SveaWebPayHostedStatusCode112","Butikk ikke funnet i banken"
"SveaWebPayHostedStatusCode113","Betalmetode ikke konfigurert for denne butikk"
"SveaWebPayHostedStatusCode114","Timeout hos banken"
"SveaWebPayHostedStatusCode115","Butikken er avstengt"
"SveaWebPayHostedStatusCode116","Betalingsmetode avstengt"
"SveaWebPayHostedStatusCode117","Ugyldig godkjent beløp"
"SveaWebPayHostedStatusCode118","Ugyldig beløp"
"SveaWebPayHostedStatusCode119", "Ugyldig kreditert beløp"
"SveaWebPayHostedStatusCode120","Ikke nok kreditt"
"SveaWebPayHostedStatusCode121","Kredittkort har utgått"
"SveaWebPayHostedStatusCode122","Kort stjålet"
"SveaWebPayHostedStatusCode123","Kort mistet"
"SveaWebPayHostedStatusCode124","Beløp overstiger maxgrensen"
"SveaWebPayHostedStatusCode125","Frekvensgrense passert"
"SveaWebPayHostedStatusCode126","Transaksjon tilhører ikke butikk"
"SveaWebPayHostedStatusCode127","Kundreferansenummer"
"SveaWebPayHostedStatusCode128","Transaksjonen eksisterer ikke"
"SveaWebPayHostedStatusCode129","Mer enn en transaksjon funnet for oppgitt kundereferansenummer"
"SveaWebPayHostedStatusCode130","Operasjon ikke tillatt for oppgitt betalingsmetode"
"SveaWebPayHostedStatusCode131","Foretak inaktivt"
"SveaWebPayHostedStatusCode132","Ingen subskripsjon eksisterer"
"SveaWebPayHostedStatusCode133","Subskripsjon ikke aktiv"
"SveaWebPayHostedStatusCode134","Betalingsmåten kan ikke håndtere subskripsjoner"
"SveaWebPayHostedStatusCode135","Ikke tillatt data format"
"SveaWebPayHostedStatusCode136","Ikke tillatt respons data"
"SveaWebPayHostedStatusCode137","Ignore callback"
"SveaWebPayHostedStatusCode138","Valutan er ikke konfigurert"
"SveaWebPayHostedStatusCode139","Valutan er ikke aktiv."
"SveaWebPayHostedStatusCode140","Valutan er allerde konfigurert"
"SveaWebPayHostedStatusCode141","Ikke tillatt antall forespørseler under dagen."
"SveaWebPayHostedStatusCode142","Ingen korrekte betalingsalternativ."
"SveaWebPayHostedStatusCode300","Ugyldig navn for korteieren." 
"SveaWebPayHostedStatusCode301","Ugyldig transaksjonsid"
"SveaWebPayHostedStatusCode302","Ugyldig verdi for rev"
"SveaWebPayHostedStatusCode303","Ugyldig verdi for butikk id"
"SveaWebPayHostedStatusCode304","Ugyldig verdi for språk"
"SveaWebPayHostedStatusCode305","Ugyldig pris verdi"
"SveaWebPayHostedStatusCode306","Ugyldig verdi for kunde referanse nummer"
"SveaWebPayHostedStatusCode307","Ugyldig verdi for valuta"
"SveaWebPayHostedStatusCode308","Ugyldig verdi for betalingsalternativ"
"SveaWebPayHostedStatusCode309","Ugyldig verdi for returadressen"
"SveaWebPayHostedStatusCode310","Ugyldig verdi for siste bokingsdato"
"SveaWebPayHostedStatusCode311","Ugyldig mac verdi"
"SveaWebPayHostedStatusCode312","Ugyldig följese id"
"SveaWebPayHostedStatusCode313","Ugyldig autorisasjonskode"
"SveaWebPayHostedStatusCode314","Ugyldig verdi for kortbeskrivelse"
"SveaWebPayHostedStatusCode315","Ugyldig verdi for error kode"
"SveaWebPayHostedStatusCode316","Korttype ikke konfigurert for butikk"
"SveaWebPayHostedStatusCode317","Feil verdi satt som personnummer"
"SveaWebPayHostedStatusCode318","Feil verdi for moms."
"SveaWebPayHostedStatusCode319","Feil verdi for dato på lag order."
"SveaWebPayHostedStatusCode320","Ugyldig kampanjekode angitt. Ingen kampanjekode ble funnet."
"SveaWebPayHostedStatusCode321","Feil abonnementstype"
"SveaWebPayHostedStatusCode322","Feil abonnement id"
"SveaWebPayHostedStatusCode323","Feil base64"
"SveaWebPayHostedStatusCode324","Feil kampanjekode, mangler verdi."
"SveaWebPayHostedStatusCode325","Feil returadresse."
"SveaWebPayHostedStatusCode500","Antifraud - cardbin not allowed Technical Specification SveaWebPay 1.4.3 39"
"SveaWebPayHostedStatusCode501","Antifraud – iplocation not allowed"






