"SveaWebPayHostedStatusCode0","Betalning genomfört "
"SveaWebPayHostedStatusCode1","Betalning genomfört men kräver manuell granskning av affärsinnehavaren, tillgängliga betalmetoder: PAYPAL"
"SveaWebPayHostedStatusCode100","Ogiligt – kontakta integratören"
"SveaWebPayHostedStatusCode101","Ogiltig XML"
"SveaWebPayHostedStatusCode102","Ogiltig encoding"
"SveaWebPayHostedStatusCode104","Ogiltig URL"
"SveaWebPayHostedStatusCode105","Ogiltigt transaktionsstatus"
"SveaWebPayHostedStatusCode106","Misslyckat vid tredjepart tex vid bank"
"SveaWebPayHostedStatusCode107","Transaktion avvisad av banken"
"SveaWebPayHostedStatusCode108","Transaktion avbruten"
"SveaWebPayHostedStatusCode109","Transaktion inte hittad I banken"
"SveaWebPayHostedStatusCode110","Ogiltigt transaktionsID"
"SveaWebPayHostedStatusCode111","ButiksID ej konfigurerat"
"SveaWebPayHostedStatusCode112","Butik ej funnen i banken"
"SveaWebPayHostedStatusCode113","Betalmetod ej konfigurerad för denna butik"
"SveaWebPayHostedStatusCode114","Timout hos banken"
"SveaWebPayHostedStatusCode115","Butiken är avstängd"
"SveaWebPayHostedStatusCode116","Betalmetod avstängd"
"SveaWebPayHostedStatusCode117","Ogiltigt godkänt belopp"
"SveaWebPayHostedStatusCode118","Ogiltigt belopp"
"SveaWebPayHostedStatusCode119", "Ogiltigt krediterat belopp"
"SveaWebPayHostedStatusCode120","Not enough founds"
"SveaWebPayHostedStatusCode121","Kreditkort har utgått"
"SveaWebPayHostedStatusCode122","Kort stulet"
"SveaWebPayHostedStatusCode123","Kort borttappat"
"SveaWebPayHostedStatusCode124","Belopp överstiger maxgränsen"
"SveaWebPayHostedStatusCode125","Frekvensgräns passerad"
"SveaWebPayHostedStatusCode126","Transaktion hör ej till butik"
"SveaWebPayHostedStatusCode127","Kundreferensnummer"
"SveaWebPayHostedStatusCode128","Transaction does not exist"
"SveaWebPayHostedStatusCode129","More than one transaction found for the given customer reference number"
"SveaWebPayHostedStatusCode130","Operation not allowed for the given payment method"
"SveaWebPayHostedStatusCode131","Company inactive"
"SveaWebPayHostedStatusCode132","No subscription exist"
"SveaWebPayHostedStatusCode133","Subscription not active"
"SveaWebPayHostedStatusCode134","Payment method doesn’t support subscriptions"
"SveaWebPayHostedStatusCode135","Illegal date format"
"SveaWebPayHostedStatusCode136","Illegal response data"
"SveaWebPayHostedStatusCode137","Ignore callback"
"SveaWebPayHostedStatusCode138","Valutan är ej konfigurerad"
"SveaWebPayHostedStatusCode139","Valutan är ej aktiv."
"SveaWebPayHostedStatusCode140","Valutan är redan konfigurerad"
"SveaWebPayHostedStatusCode141","Otillåtet många förfrågningar för dagen."
"SveaWebPayHostedStatusCode142","Inga korrekta betalningsalternativ."
"SveaWebPayHostedStatusCode300","Ogiltigt namn för kortägaren." 
"SveaWebPayHostedStatusCode301","Ogiltigt transaktions id"
"SveaWebPayHostedStatusCode302","Ogiltigt värde för rev"
"SveaWebPayHostedStatusCode303","Ogiltigt värde för butiks id"
"SveaWebPayHostedStatusCode304","Ogiltigt värde för språk"
"SveaWebPayHostedStatusCode305","Ogiltig pris värde"
"SveaWebPayHostedStatusCode306","Ogiltigt värde för kund reference nummer"
"SveaWebPayHostedStatusCode307","Ogiltigt värde för valuta"
"SveaWebPayHostedStatusCode308","Ogiltigt värde för betalningsalternativ"
"SveaWebPayHostedStatusCode309","Ogiltigt värde för retur addressen"
"SveaWebPayHostedStatusCode310","Ogiltigt värde för sista bokninsdatum"
"SveaWebPayHostedStatusCode311","Ogiltigt mac värde"
"SveaWebPayHostedStatusCode312","Ogiltigt följese id"
"SveaWebPayHostedStatusCode313","Ogiltigt authentiserings kod"
"SveaWebPayHostedStatusCode314","Ogiltigt värde för kort beskrivning"
"SveaWebPayHostedStatusCode315","Ogiltigt värde för error kod"
"SveaWebPayHostedStatusCode316","Kort typ ej konfigurerat för butik"
"SveaWebPayHostedStatusCode317","Felaktigt värde satt som personnummer"
"SveaWebPayHostedStatusCode318","Felaktigt värde för moms."
"SveaWebPayHostedStatusCode319","Felaktigt värde för skapa order datum."
"SveaWebPayHostedStatusCode320","Ogiltig kampanj kod angiven. Ingen kampanjkod hittades."
"SveaWebPayHostedStatusCode321","Felaktig abonnemangs typ"
"SveaWebPayHostedStatusCode322","Felaktig abonnemangs id"
"SveaWebPayHostedStatusCode323","Felaktig base64"
"SveaWebPayHostedStatusCode324","Felaktig kampanjkod, saknar värde."
"SveaWebPayHostedStatusCode325","Felaktig retur address."
"SveaWebPayHostedStatusCode500","Antifraud - cardbin not allowed Technical Specification SveaWebPay 1.4.3 39"
"SveaWebPayHostedStatusCode501","Antifraud – iplocation not allowed"






